Judul,Author,Genre,Year,Rating
Accounting 101: Financial Reporting (Hc),Michele Cagan,Akuntansi,2017.0,4.7
Accounting—Indonesian Adaptation 4Th Edition Vol 2,"WARREN,AT AL",Akuntansi,2018.0,5.0
Accounting—Indonesia Adaptation 4Th Edition Vol 1,"WARREN,AT AL",Akuntansi,2017.0,5.0
Mudah Memahami Jurnal Penyesuaian Ed Rev,Despaten R,Akuntansi,2014.0,5.0
Bagan Akun Standar,Dailibas,Akuntansi,2015.0,5.0
Akuntansi Pengantar,"Dr. Peny Cahaya Azwari, M.M., M.B.A., Ak. Dkk",Akuntansi,2022.0,5.0
Deteksi Kecurangan Akuntansi Single Edition,Nova D,Akuntansi,2014.0,4.5
"Seri Panduan Lengkap: MYOB Accounting (Ed, Revisi)",Madcoms,Akuntansi,2013.0,4.5
Kupas Tuntas Penelitian Akuntansi dengan SPSS,V Wiratna Sujarweni,Akuntansi,2020.0,5.0
Teori Akuntansi,"Agus Ismaya Hasanudin, S.E., S.H., M.Si.",Akuntansi,2018.0,4.6
Pengantar Akuntansi Lanjutan,"Imanda Firmantyas Putri Pertiwi, dkk",Akuntansi,2020.0,5.0
Akuntansi Desa,Yuliansyah,Akuntansi,2015.0,5.0
Akuntansi Syariah Peluang Dan Tantangan Edisi Revisi,SRI DEWI ANGGADINI & ADEH RATNA KOMALA,Akuntansi Syariah,2020.0,5.0
Akuntansi Dasar: Siklus Akuntansi Perusahaan Jasa Dan Perusa,Thomas Sumarsan,Akuntansi,2022.0,4.5
Dasar-Dasar Perpajakan & Akuntansi Pajak,Herry Purwono,Akuntansi Pajak,2021.0,4.15
Akuntansi Perpajakan Lintas Sektoral Dilengkapi Peraturan Perpajakan Terkait dan Terkini,Irwan Wisanggeni,Akuntansi Perpajakan,2017.0,5.0
Dasar-Dasar Perpajakan & Akuntansi Pajak,Herry Purwono,Akuntansi Pajak,2011.0,5.0
Memahami Akuntansi Syariah Di Indonesia Ed Revisi,Slamet Wiyono & Taufan Maulamin,Akuntansi Syariah,2017.0,4.6
Akuntansi Syariah Di Indonesia (E5),"SRI NURHAYATI, WASILAH",Akuntansi Syariah,2023.0,4.9
Akuntansi Sektor Publik Edisi Terbaru,"Prof. Dr. Mardiasmo, Mba., Ak",Akuntansi Sektor Publik,2021.0,3.0
Sistem Informasi Manajemen,Wing Wahyu Winarno,Sistem Informasi,2021.0,5.0
Pengelolaan Otomasi Perpustakaan Berbasis Senayan Library Management System (SLIMS),Mulyadi,Manajemen Layanan,2019.0,5.0
Sistem Informasi Manajemen Edisi Terbaru,Jane Sekarsari T,Sistem Informasi Manajemen,2018.0,5.0
Sistem Informasi Manajemen Edisi 2,Ais Zakiyudin,Sistem Informasi Manajemen,2012.0,5.0
Sistem Informasi Manajemen,Dr H A Rusdiana,Sistem Informasi Manajemen,2014.0,4.0
Sistem Informasi Manajemen,Edhy Sutanta  Rohmat Taufiq,Sistem Informasi Manajemen,2020.0,5.0
Konsep dan Penerapan Ip Versi 6 dalam Membangun Jaringan Komputer,Mulyadi,Jaringan Komputer,2023.0,5.0
Tuntunan Praktis Membangun Sistem Informasi Akuntansi dengan Visual Basic dan Microsoft SQL Server,Kusrini,Sistem Informasi Akuntansi,2017.0,4.07
Sistem Komputerisasi Akuntansi General Ledger,Source Wikipedia,Sistem Informasi Akuntansi,2015.0,3.86
Sistem Informasi Akuntansi : Aplikasi Di Sektor Publik,Sri Mulyani,Sistem Informasi Akuntansi,2019.0,5.0
Sistem Informasi Manajemen,Wahyudi Kumorotomo,Sistem Informasi Manajemen,2018.0,4.13
"Sistem Informasi: Menulis, Perpustakaan Digital, Sistem Informasi Geografis, Sistem Manajemen Basis Data, Sistem Navigasi Satelit",Sumber Wikipedia,Sistem Informasi dan Teknologi,2011.0,5.0
Sistem Informasi Akuntansi,Nabella Duta Nusa  Faiz Zamzami,Sistem Informasi Akuntansi,2021.0,5.0
Sistem Informasi Akuntansi,Dr. Lilis Puspitawati,Sistem Informasi Akuntansi,2022.0,5.0
Sistem Informasi Akuntansi: Konsep&Penerapan,Tmbooks,Sistem Informasi Akuntansi,2021.0,5.0
Sistem Informasi Akuntansi: Perancangan Proses&Penerapan,Anastasia Diana&Lilis Setiawati,Sistem Informasi Akuntansi,2022.0,4.0
"Sistem Informasi Akuntansi, Esensi Dan Aplikasi",Abdul Kadir,Sistem Informasi Akuntansi,2017.0,5.0
Sistem Akuntansi Usaha Jasa Otomotif,IDA BAGUS TEDDY PRIANTHARA; IDA AYU BUDHANANDA MUNIDEWI,Sistem Informasi Akuntansi,2020.0,4.0
Sistem Informasi Akuntansi,I Cenik Ardana & Hendro Lukman,Sistem Informasi Akuntansi,2016.0,5.0
